Beer name	Brewery location	Beer rating
Brouwerij Van Steenberge	Ertvelde, Belgium	4.3
Revolution Brewing Company	Chicago, Illinois	4.3
Monkish Brewing Company	Torrance, California	4.3
Modern Times Beer	San Diego, California	4.3
Cloudwater Brew Co	Manchester, Greater Manchester	4.3
Brouwerij Rodenbach (Palm)	Roeselare, Belgium	4.3
Westvleteren Abdij St. Sixtus	Westvleteren, Belgium	4.3
Oskar Blues Brewery	Longmont, Colorado	4.3
Brouwerij Van Steenberge	Ertvelde, Belgium	4.3
Urban Chestnut Brewing Company	St. Louis, Missouri	4.3
AleSmith Brewing Company	San Diego, California	4.3
Karl Strauss Brewing Company	San Diego, California	4.3
Port Brewing Company / The Lost Abbey	San Marcos, California	4.3
Anchor Brewing Company	San Francisco, California	3.7
Oakham	Peterborough, Cambridgeshire	3.7
Cigar City Brewing	Tampa, Florida	3.7
Magic Rock Brewing	Huddersfield, West Yorkshire	3.7
The Kernel	Bermondsey, Greater London	3.7
Schneider Weisse G. Schneider & Sohn GmbH	Kelheim, Bavaria	3.7
Cloudwater Brew Co	Manchester, Greater Manchester	3.7
Founders Brewing Company	Grand Rapids, Michigan	3.7
The Veil Brewing Company	Richmond, Virginia	3.7
Other Half Brewing	Brooklyn, New York	3.7
Monkish Brewing Company	Torrance, California	3.7
Cloudwater Brew Co	Manchester, Greater Manchester	3.7
Magic Rock Brewing	Huddersfield, West Yorkshire	3.7
B. Nektar Meadery	Ferndale, Michigan	3.7
Suarez Family Brewery	Livingston , New York	3.7
Bayerische Staatsbrauerei Weihenstephan	Freising, Bavaria	3.5
Great Lakes Brewery (Ontario)	Etobicoke, Ontario	3.5
Voodoo Brewing Co.	Meadville, Pennsylvania	3.5
Magic Rock Brewing	Huddersfield, West Yorkshire	3.5
Superstition Meadery	Prescott, Arizona	3.5
Monkish Brewing Company	Torrance, California	3.5
Great Divide Brewing Company	Denver, Colorado	3.5
Siren	Finchampstead, Berkshire	3.5
Stone Brewing	Escondido, California	3.5
Founders Brewing Company	Grand Rapids, Michigan	3.5
Tired Hands Brewing Company	Ardmore, Pennsylvania	3.5
Hill Farmstead Brewery	Greensboro, Vermont	3.5
Prairie Artisan Ales	Tulsa, Oklahoma	3.5
Voodoo Brewing Co.	Meadville, Pennsylvania	3.5
Cloudwater Brew Co	Manchester, Greater Manchester	3.5
Other Half Brewing	Brooklyn, New York	4.2
Cloudwater Brew Co	Manchester, Greater Manchester	4.2
Cloudwater Brew Co	Manchester, Greater Manchester	4.2
Jester King Brewery	Austin, Texas	4.2
Evil Twin Brewing	Brooklyn, New York	4.2
Cigar City Brewing	Tampa, Florida	4.2
Schneider Weisse G. Schneider & Sohn GmbH	Kelheim, Bavaria	4.2
Great Lakes Brewery (Ontario)	Etobicoke, Ontario	4.2
Sixpoint Brewery	Brooklyn, New York	4.2
Founders Brewing Company	Grand Rapids, Michigan	4.2
Buxton	Buxton, Derbyshire	4.2
Uerige Obergärige Hausbrauerei	Düsseldorf, North Rhine-Westphalia	4.2
Chimay	Baileux, Belgium	4.2
Modern Times Beer	San Diego, California	4.2
Chimay	Baileux, Belgium	4.2
Cloudwater Brew Co	Manchester, Greater Manchester	3.7
Heineken Nederland	Zoeterwoude, Netherlands	3.7
Evil Twin Brewing	Brooklyn, New York	3.7
Port Brewing Company / The Lost Abbey	San Marcos, California	3.7
Sierra Nevada Brewing Company	Chico, California	3.7
Stone Brewing	Escondido, California	3.7
Evil Twin Brewing	Brooklyn, New York	3.7
Deschutes Brewery	Bend, Oregon	3.7
Ale Asylum	Madison, Wisconsin	3.7
New Glarus Brewing Company	New Glarus, Wisconsin	3.7
New Glarus Brewing Company	New Glarus, Wisconsin	3.7
Founders Brewing Company	Grand Rapids, Michigan	3.7
Port Brewing Company / The Lost Abbey	San Marcos, California	3.7
Parallel 49 Brewing Company	Vancouver, British Columbia	3.7
Founders Brewing Company	Grand Rapids, Michigan	3.7
Anchorage Brewing Company	Anchorage, Alaska	4.3
Half Acre Beer Company	Chicago, Illinois	4.3
Half Acre Beer Company	Chicago, Illinois	4.3
AleSmith Brewing Company	San Diego, California	4.3
Ballast Point Brewing Company (Constellation)	San Diego, California	4.3
Jolly Pumpkin Artisan Ales	Dexter, Michigan	4.3
Founders Brewing Company	Grand Rapids, Michigan	4.3
Founders Brewing Company	Grand Rapids, Michigan	4.3
Urban Chestnut Brewing Company	St. Louis, Missouri	4.3
Toppling Goliath	Decorah, Iowa	4.3
Brooklyn Brewery	Brooklyn, New York	4.3
Trillium Brewing Company	Boston, Massachusetts	4.3
Founders Brewing Company	Grand Rapids, Michigan	4.3
Trillium Brewing Company	Boston, Massachusetts	4.3
Firestone Walker Brewing (Duvel-Moortgat)	Paso Robles, California	4.3
Ballast Point Brewing Company (Constellation)	San Diego, California	4.1
Avery Brewing Company	Boulder, Colorado	4.1
Cigar City Brewing	Tampa, Florida	4.1
Hill Farmstead Brewery	Greensboro, Vermont	4.1
Short’s Brewing Company	Bellaire, Michigan	4.1
Prairie Artisan Ales	Tulsa, Oklahoma	4.1
Mikkeller San Diego	San Diego, California	4.1
Cloudwater Brew Co	Manchester, Greater Manchester	4.1
The Alchemist	Stowe, Vermont	4.1
The Alchemist	Stowe, Vermont	4.1
Oxbow Brewing Company	Newcastle, Maine	4.1
Fuller’s	London, Greater London	4.1
Lagunitas Brewing Company (Heineken)	Petaluma, California	4.1
Founders Brewing Company	Grand Rapids, Michigan	4.1
Avery Brewing Company	Boulder, Colorado	4.1
AleSmith Brewing Company	San Diego, California	4.4
Almanac Beer Company	San Francisco, California	4.4
Cigar City Brewing	Tampa, Florida	4.4
Avery Brewing Company	Boulder, Colorado	4.4
Boulevard Brewing Company (Duvel-Moortgat)	Kansas City, Missouri	4.4
Boston Beer Company	Boston, Massachusetts	4.4
Port Brewing Company / The Lost Abbey	San Marcos, California	4.4
Surly Brewing Company	Minneapolis, Minnesota	4.4
Prairie Artisan Ales	Tulsa, Oklahoma	4.4
Crooked Stave	Denver, Colorado	4.4
Brauerei Gebr. Maisel Bayreuth	Bayreuth, Bavaria	4.4
Brouwerij Rodenbach (Palm)	Roeselare, Belgium	4.4
Deschutes Brewery	Bend, Oregon	4.4
Magic Rock Brewing	Huddersfield, West Yorkshire	4.4
Avery Brewing Company	Boulder, Colorado	4.4
Angry Chair Brewing	Tampa, Florida	4
Karl Strauss Brewing Company	San Diego, California	4
Angry Chair Brewing	Tampa, Florida	4
De Dolle Brouwers	Diksmuide, Belgium	4
Lagunitas Brewing Company (Heineken)	Petaluma, California	4
Hair of the Dog Brewing Company	Portland, Oregon	4
Ballast Point Brewing Company (Constellation)	San Diego, California	4
Founders Brewing Company	Grand Rapids, Michigan	4
AleSmith Brewing Company	San Diego, California	4
Alaskan Brewing Company	Juneau, Alaska	4
Anchorage Brewing Company	Anchorage, Alaska	4
Anchorage Brewing Company	Anchorage, Alaska	4
Boulevard Brewing Company (Duvel-Moortgat)	Kansas City, Missouri	4
Bayerische Staatsbrauerei Weihenstephan	Freising, Bavaria	4
Chimay	Baileux, Belgium	4
Stone Brewing	Escondido, California	2.9
Cloudwater Brew Co	Manchester, Greater Manchester	2.9
Toppling Goliath	Decorah, Iowa	2.9
LTM - Les Trois Mousquetaires	Brossard, Quebec	2.9
LTM - Les Trois Mousquetaires	Brossard, Quebec	2.9
Port Brewing Company / The Lost Abbey	San Marcos, California	2.9
Boneyard Beer Company	Bend, Oregon	2.9
Founders Brewing Company	Grand Rapids, Michigan	2.9
LTM - Les Trois Mousquetaires	Brossard, Quebec	2.9
Mikkeller San Diego	San Diego, California	2.9
Dieu du Ciel	Montreal, Quebec	2.9
The Kernel	Bermondsey, Greater London	2.9
Dieu du Ciel	Montreal, Quebec	2.9
Bell’s Brewery	Galesburg, Michigan	2.9
Epic Brewing Company (UT/CO)	Salt Lake City, Utah	2.9
Goose Island Beer Company (AB-InBev)	Chicago, Illinois	4.4
Prairie Artisan Ales	Tulsa, Oklahoma	4.4
Brouwerij Van Steenberge	Ertvelde, Belgium	4.4
Westbrook Brewing	Mount Pleasant, South Carolina	4.4
Voodoo Brewing Co.	Meadville, Pennsylvania	4.4
Founders Brewing Company	Grand Rapids, Michigan	4.4
Rogue Ales	Newport, Oregon	4.4
Epic Brewing Company (UT/CO)	Salt Lake City, Utah	4.4
Sante Adairius Rustic Ales	Capitola, California	4.4
Bissell Brothers Brewing Company	Portland, Maine	4.4
Wicked Weed Brewing (AB-InBev)	Asheville, North Carolina	4.4
Great Divide Brewing Company	Denver, Colorado	4.4
Epic Brewing Company (UT/CO)	Salt Lake City, Utah	4.4
Epic Brewing Company (UT/CO)	Salt Lake City, Utah	4.4
Bissell Brothers Brewing Company	Portland, Maine	4.4
Evil Twin Brewing	Brooklyn, New York	3.9
Sante Adairius Rustic Ales	Capitola, California	3.9
Port Brewing Company / The Lost Abbey	San Marcos, California	3.9
North Coast Brewing Company	Fort Bragg, California	3.9
Chimay	Baileux, Belgium	3.9
Side Project Brewing	Maplewood, Missouri	3.9
Three Floyds Brewing Company	Munster, Indiana	3.9
Magic Rock Brewing	Huddersfield, West Yorkshire	3.9
Cigar City Brewing	Tampa, Florida	3.9
The Alchemist	Stowe, Vermont	3.9
AleSmith Brewing Company	San Diego, California	3.9
Denali Brewing Company	Talkeetna, Alaska	3.9
Superstition Meadery	Prescott, Arizona	3.9
Sante Adairius Rustic Ales	Capitola, California	3.9
Bellwoods Brewery	Toronto, Ontario	3.9
Bayerische Staatsbrauerei Weihenstephan	Freising, Bavaria	4
Hoppin’ Frog Brewery	Akron, Ohio	4
Bayerische Staatsbrauerei Weihenstephan	Freising, Bavaria	4
The Alchemist	Stowe, Vermont	4
Wiseacre Brewing	Memphis, Tennessee	4
Dieu du Ciel	Montreal, Quebec	4
Paulaner Brauerei (Schörghuber)	Munich, Bavaria	4
Burial Beer Company	Asheville, North Carolina	4
Collective Arts Brewing	Hamilton, Ontario	4
Left Hand Brewing Company	Longmont, Colorado	4
Funky Buddha Brewery	Oakland Park, Florida	4
Brewery Ommegang (Duvel-Moortgat)	Cooperstown, New York	4
Brauerei Gebr. Maisel Bayreuth	Bayreuth, Bavaria	4
Westvleteren Abdij St. Sixtus	Westvleteren, Belgium	4
Firestone Walker Brewing (Duvel-Moortgat)	Paso Robles, California	4
Stone Brewing	Escondido, California	4.3
Pipeworks Brewing Company	Chicago, Illinois	4.3
Lakefront Brewery	Milwaukee, Wisconsin	4.3
Suarez Family Brewery	Livingston , New York	4.3
Tired Hands Brewing Company	Ardmore, Pennsylvania	4.3
Brauerei Aying	Aying, Bavaria	4.3
Bale Breaker Brewing Company	Yakima, Washington	4.3
Cycle Brewing	Saint Petersburg, Florida	4.3
Schneider Weisse G. Schneider & Sohn GmbH	Kelheim, Bavaria	4.3
Stillwater Artisanal	Baltimore, Maryland	4.3
Central Waters Brewing Co.	Amherst, Wisconsin	4.3
Brouwerij Van Steenberge	Ertvelde, Belgium	4.3
Cigar City Brewing	Tampa, Florida	4.3
Westvleteren Abdij St. Sixtus	Westvleteren, Belgium	4.3
Evil Twin Brewing	Brooklyn, New York	4.3
De Dolle Brouwers	Diksmuide, Belgium	3.5
